Country,year,Age,nmxM,nmxF,nmxB,lxB,start_year,end_year,lx,Female,np20_period
India,2016,47,0.006373423,0.003815197,0.005124697,939.5018629,2015,2017,926.2080162,0,0.926208016
India,2016,47,0.006373423,0.003815197,0.005124697,939.5018629,2015,2017,953.9719901,1,0.95397199
India,2016,48,0.006756173,0.004200373,0.005507323,934.6995062,2015,2017,920.3236521,0,0.920323652
India,2016,48,0.006756173,0.004200373,0.005507323,934.6995062,2015,2017,950.339329,1,0.950339329
India,2016,49,0.007196837,0.00465083,0.005951737,929.5659499,2015,2017,914.1267198,0,0.91412672
India,2016,49,0.007196837,0.00465083,0.005951737,929.5659499,2015,2017,946.355915,1,0.946355915
India,2016,50,0.007746773,0.00518126,0.00649133,924.0498334,2015,2017,907.5714876,0,0.907571488
India,2016,50,0.007746773,0.00518126,0.00649133,924.0498334,2015,2017,941.9647857,1,0.941964786
India,2016,51,0.008458443,0.005806193,0.007159877,918.0709265,2015,2017,900.5678647,0,0.900567865
India,2016,51,0.008458443,0.005806193,0.007159877,918.0709265,2015,2017,937.0968323,1,0.937096832
India,2016,52,0.00933679,0.006524687,0.00795926,911.5210998,2015,2017,892.9825425,0,0.892982542
India,2016,52,0.00933679,0.006524687,0.00795926,911.5210998,2015,2017,931.6716168,1,0.931671617
India,2016,53,0.01036602,0.007324567,0.00887527,904.2948243,2015,2017,884.6836943,0,0.884683694
India,2016,53,0.01036602,0.007324567,0.00887527,904.2948243,2015,2017,925.6125183,1,0.925612518
India,2016,54,0.011515807,0.00818244,0.00988079,896.3044221,2015,2017,875.5603319,0,0.875560332
India,2016,54,0.011515807,0.00818244,0.00988079,896.3044221,2015,2017,918.8575464,1,0.918857546
India,2016,55,0.012734893,0.009060787,0.010931033,887.4917643,2015,2017,865.5352717,0,0.865535272
India,2016,55,0.012734893,0.009060787,0.010931033,887.4917643,2015,2017,911.3696841,1,0.911369684
India,2016,56,0.013958837,0.00991636,0.011971607,877.8432961,2015,2017,854.5825135,0,0.854582513
India,2016,56,0.013958837,0.00991636,0.011971607,877.8432961,2015,2017,903.1491998,1,0.9031492
India,2016,57,0.015173647,0.010751817,0.012996407,867.3966331,2015,2017,842.736216,0,0.842736216
India,2016,57,0.015173647,0.010751817,0.012996407,867.3966331,2015,2017,894.2374334,1,0.894237433
India,2016,58,0.016393147,0.011598063,0.014027553,856.1963753,2015,2017,830.0451196,0,0.83004512
India,2016,58,0.016393147,0.011598063,0.014027553,856.1963753,2015,2017,884.6741677,1,0.884674168
India,2016,59,0.017640607,0.012499613,0.015098673,844.2696861,2015,2017,816.5486926,0,0.816548693
India,2016,59,0.017640607,0.012499613,0.015098673,844.2696861,2015,2017,874.4728186,1,0.874472819
India,2016,60,0.018949147,0.013515903,0.0162559,831.6178469,2015,2017,802.2702188,0,0.802270219
India,2016,60,0.018949147,0.013515903,0.0162559,831.6178469,2015,2017,863.6101362,1,0.863610136
India,2016,61,0.020360447,0.014716977,0.017555243,818.2081438,2015,2017,787.2105665,0,0.787210567
India,2016,61,0.020360447,0.014716977,0.017555243,818.2081438,2015,2017,852.0160175,1,0.852016018
India,2016,62,0.021910117,0.01613093,0.019029107,803.969284,2015,2017,771.3441316,0,0.771344132
India,2016,62,0.021910117,0.01613093,0.019029107,803.969284,2015,2017,839.5685125,1,0.839568513
India,2016,63,0.023634233,0.017759487,0.020696983,788.8146563,2015,2017,754.6270285,0,0.754627029
India,2016,63,0.023634233,0.017759487,0.020696983,788.8146563,2015,2017,826.1338484,1,0.826133848
India,2016,64,0.025577337,0.019597117,0.022578567,772.6557924,2015,2017,737.0002944,0,0.737000294
India,2016,64,0.025577337,0.019597117,0.022578567,772.6557924,2015,2017,811.5912697,1,0.81159127
India,2016,65,0.027794763,0.0216274,0.024693097,755.4050802,2015,2017,718.3878186,0,0.718387819
India,2016,65,0.027794763,0.0216274,0.024693097,755.4050802,2015,2017,795.8407533,1,0.795840753
India,2016,66,0.030350143,0.023822437,0.027053933,736.9792845,2015,2017,698.6940904,0,0.69869409
India,2016,66,0.030350143,0.023822437,0.027053933,736.9792845,2015,2017,778.8129208,1,0.778812921
India,2016,67,0.03325956,0.02617354,0.02965448,717.3071997,2015,2017,677.8056088,0,0.677805609
India,2016,67,0.03325956,0.02617354,0.02965448,717.3071997,2015,2017,760.4780895,1,0.76047809
India,2016,68,0.036493033,0.02868904,0.03248299,696.3466153,2015,2017,655.6308538,0,0.655630854
India,2016,68,0.036493033,0.02868904,0.03248299,696.3466153,2015,2017,740.8308053,1,0.740830805
India,2016,69,0.039995813,0.031378593,0.035526247,674.0886971,2015,2017,632.1336376,0,0.632133638
India,2016,69,0.039995813,0.031378593,0.035526247,674.0886971,2015,2017,719.8776438,1,0.719877644
India,2016,70,0.043681973,0.034253137,0.03875835,650.5588198,2015,2017,607.3466269,0,0.607346627
India,2016,70,0.043681973,0.034253137,0.03875835,650.5588198,2015,2017,697.6378231,1,0.697637823
India,2016,71,0.047436873,0.037325967,0.04212893,625.8235819,2015,2017,581.3835862,0,0.581383586
India,2016,71,0.047436873,0.037325967,0.04212893,625.8235819,2015,2017,674.1439095,1,0.67414391
India,2016,72,0.051233793,0.04062475,0.04563048,600.0022173,2015,2017,554.4435424,0,0.554443542
India,2016,72,0.051233793,0.04062475,0.04563048,600.0022173,2015,2017,649.4418505,1,0.649441851
India,2016,73,0.055149013,0.04419419,0.04932306,573.2345391,2015,2017,526.7468011,0,0.526746801
India,2016,73,0.055149013,0.04419419,0.04932306,573.2345391,2015,2017,623.5836786,1,0.623583679
India,2016,74,0.05929203,0.04809101,0.0532902,545.6413478,2015,2017,498.476767,0,0.498476767
India,2016,74,0.05929203,0.04809101,0.0532902,545.6413478,2015,2017,596.6207064,1,0.596620706
India,2016,75,0.063807197,0.05238607,0.057639037,517.3186718,2015,2017,469.7720481,0,0.469772048
India,2016,75,0.063807197,0.05238607,0.057639037,517.3186718,2015,2017,568.60233,1,0.56860233
India,2016,76,0.06887494,0.057165707,0.06249846,488.3361833,2015,2017,440.7239495,0,0.440723949
India,2016,76,0.06887494,0.057165707,0.06249846,488.3361833,2015,2017,539.575782,1,0.539575782
India,2016,77,0.07459313,0.062490797,0.06794725,458.7407581,2015,2017,411.3796571,0,0.411379657
India,2016,77,0.07459313,0.062490797,0.06794725,458.7407581,2015,2017,509.5876961,1,0.509587696
India,2016,78,0.080934543,0.068379933,0.073986993,428.5947542,2015,2017,381.7968962,0,0.381796896
India,2016,78,0.080934543,0.068379933,0.073986993,428.5947542,2015,2017,478.7080033,1,0.478708003
India,2016,79,0.087838197,0.074839387,0.080597273,398.0155487,2015,2017,352.0981654,0,0.352098165
India,2016,79,0.087838197,0.074839387,0.080597273,398.0155487,2015,2017,447.0561575,1,0.447056158
India,2016,80,0.095206083,0.0818611,0.087729297,367.1792418,2015,2017,322.4716666,0,0.322471667
India,2016,80,0.095206083,0.0818611,0.087729297,367.1792418,2015,2017,414.8055565,1,0.414805557
India,2016,81,0.102898297,0.08941976,0.095304437,336.3204742,2015,2017,293.1654665,0,0.293165466
India,2016,81,0.102898297,0.08941976,0.095304437,336.3204742,2015,2017,382.1843224,1,0.382184322
India,2016,82,0.110852653,0.097514403,0.10329878,305.7255566,2015,2017,264.4753228,0,0.264475323
India,2016,82,0.110852653,0.097514403,0.10329878,305.7255566,2015,2017,349.4720536,1,0.349472054
India,2016,83,0.119169007,0.10619977,0.11179276,275.695513,2015,2017,236.6971724,0,0.236697172
India,2016,83,0.119169007,0.10619977,0.11179276,275.695513,2015,2017,316.9778226,1,0.316977823
India,2016,84,0.12799357,0.115546033,0.120892737,246.5063208,2015,2017,210.0763915,0,0.210076391
India,2016,84,0.12799357,0.115546033,0.120892737,246.5063208,2015,2017,285.0122206,1,0.285012221
India,2016,85,0.1375144,0.12563738,0.13072534,218.4041701,2015,2017,184.8052368,0,0.184805237
India,2016,85,0.1375144,0.12563738,0.13072534,218.4041701,2015,2017,253.8788573,1,0.253878857
India,2016,86,0.147967443,0.136574217,0.141445963,191.6048836,2015,2017,161.0267947,0,0.161026795
India,2016,86,0.147967443,0.136574217,0.141445963,191.6048836,2015,2017,223.8674596,1,0.22386746
India,2016,87,0.159512513,0.148439463,0.153166307,166.2932598,2015,2017,138.8414276,0,0.138841428
India,2016,87,0.159512513,0.148439463,0.153166307,166.2932598,2015,2017,195.247323,1,0.195247323
India,2016,88,0.172091617,0.161258107,0.165870183,142.6345908,2015,2017,118.3303678,0,0.118330368
India,2016,88,0.172091617,0.161258107,0.165870183,142.6345908,2015,2017,168.2673607,1,0.168267361
India,2016,89,0.18557776,0.175036233,0.179503037,120.7876437,2015,2017,99.58008664,0,0.099580087
India,2016,89,0.18557776,0.175036233,0.179503037,120.7876437,2015,2017,143.1574713,1,0.143157471
India,2016,90,0.199782607,0.18976246,0.19398142,100.8915954,2015,2017,82.66936422,0,0.082669364
India,2016,90,0.199782607,0.18976246,0.19398142,100.8915954,2015,2017,120.116251,1,0.120116251
China,2016,20,0.00070918,0.000458713,0.00059251,1000,2015,2017,1000,0,1
China,2016,20,0.00070918,0.000458713,0.00059251,1000,2015,2017,1000,1,1
China,2016,21,0.000769453,0.00049482,0.00064117,999.4076655,2015,2017,999.2910714,0,0.999291071
China,2016,21,0.000769453,0.00049482,0.00064117,999.4076655,2015,2017,999.5413919,1,0.999541392
China,2016,22,0.00082761,0.000524733,0.00068569,998.7670806,2015,2017,998.5224592,0,0.998522459
China,2016,22,0.00082761,0.000524733,0.00068569,998.7670806,2015,2017,999.0469211,1,0.999046921
China,2016,23,0.000876373,0.000543797,0.000720007,998.0824707,2015,2017,997.6964139,0,0.997696414
China,2016,23,0.000876373,0.000543797,0.000720007,998.0824707,2015,2017,998.5228254,1,0.998522825
China,2016,24,0.000913013,0.000554837,0.00074401,997.3641033,2015,2017,996.8224423,0,0.996822442
China,2016,24,0.000913013,0.000554837,0.00074401,997.3641033,2015,2017,997.9799796,1,0.99797998
China,2016,25,0.000934213,0.000556447,0.000755333,996.6223304,2015,2017,995.9127454,0,0.995912745
China,2016,25,0.000934213,0.000556447,0.000755333,996.6223304,2015,2017,997.4264173,1,0.997426417
China,2016,26,0.000947937,0.00055706,0.00076219,995.8698325,2015,2017,994.9827848,0,0.994982785
China,2016,26,0.000947937,0.00055706,0.00076219,995.8698325,2015,2017,996.8715571,1,0.996871557
China,2016,27,0.000961297,0.000558677,0.00076932,995.1110797,2015,2017,994.040051,0,0.994040051
China,2016,27,0.000961297,0.000558677,0.00076932,995.1110797,2015,2017,996.3163944,1,0.996316394
China,2016,28,0.000979363,0.000564823,0.000781037,994.3458152,2015,2017,993.0849427,0,0.993084943
China,2016,28,0.000979363,0.000564823,0.000781037,994.3458152,2015,2017,995.7599311,1,0.995759931
China,2016,29,0.00100094,0.00057253,0.000795317,993.5694978,2015,2017,992.1128277,0,0.992112828
China,2016,29,0.00100094,0.00057253,0.000795317,993.5694978,2015,2017,995.1976615,1,0.995197661
China,2016,30,0.00102649,0.00058285,0.00081292,992.7796095,2015,2017,991.1202791,0,0.991120279
China,2016,30,0.00102649,0.00058285,0.00081292,992.7796095,2015,2017,994.628044,1,0.994628044
China,2016,31,0.00105349,0.000595837,0.00083258,991.972887,2015,2017,990.1034259,0,0.990103426
China,2016,31,0.00105349,0.000595837,0.00083258,991.972887,2015,2017,994.048494,1,0.994048494
China,2016,32,0.001079623,0.000611277,0.000853013,991.1473339,2015,2017,989.060911,0,0.989060911
China,2016,32,0.001079623,0.000611277,0.000853013,991.1473339,2015,2017,993.4563798,1,0.99345638
China,2016,33,0.00110495,0.00062814,0.00087379,990.3022325,2015,2017,987.9936739,0,0.987993674
China,2016,33,0.00110495,0.00062814,0.00087379,990.3022325,2015,2017,992.8492887,1,0.992849289
China,2016,34,0.001136107,0.00064954,0.000899823,989.4372942,2015,2017,986.902593,0,0.986902593
China,2016,34,0.001136107,0.00064954,0.000899823,989.4372942,2015,2017,992.2258361,1,0.992225836
China,2016,35,0.001181277,0.000678543,0.00093681,988.5473758,2015,2017,985.782003,0,0.985782003
China,2016,35,0.001181277,0.000678543,0.00093681,988.5473758,2015,2017,991.581555,1,0.991581555
China,2016,36,0.001248747,0.000718253,0.000990463,987.6217283,2015,2017,984.6182091,0,0.984618209
China,2016,36,0.001248747,0.000718253,0.000990463,987.6217283,2015,2017,990.9089522,1,0.990908952
China,2016,37,0.001346203,0.000770603,0.001065637,986.6440094,2015,2017,983.3894376,0,0.983389438
China,2016,37,0.001346203,0.000770603,0.001065637,986.6440094,2015,2017,990.197484,1,0.990197484
China,2016,38,0.00147935,0.00083676,0.00116578,985.5931653,2015,2017,982.0664859,0,0.982066486
China,2016,38,0.00147935,0.00083676,0.00116578,985.5931653,2015,2017,989.4347284,1,0.989434728
China,2016,39,0.00165245,0.000917247,0.001293267,984.4448498,2015,2017,980.6147397,0,0.98061474
China,2016,39,0.00165245,0.000917247,0.001293267,984.4448498,2015,2017,988.6071553,1,0.988607155
China,2016,40,0.001863053,0.001012213,0.001446857,983.1725228,2015,2017,978.9956606,0,0.978995661
China,2016,40,0.001863053,0.001012213,0.001446857,983.1725228,2015,2017,987.7007743,1,0.987700774
China,2016,41,0.00210098,0.001116383,0.0016187,981.7510414,2015,2017,977.1734369,0,0.977173437
China,2016,41,0.00210098,0.001116383,0.0016187,981.7510414,2015,2017,986.7015162,1,0.986701516
China,2016,42,0.002351107,0.00122184,0.001797203,980.1631662,2015,2017,975.1225695,0,0.975122569
China,2016,42,0.002351107,0.00122184,0.001797203,980.1631662,2015,2017,985.6005936,1,0.985600594
China,2016,43,0.002585133,0.001316507,0.001962027,978.4031952,2015,2017,972.8326442,0,0.972832644
China,2016,43,0.002585133,0.001316507,0.001962027,978.4031952,2015,2017,984.3970826,1,0.984397083
China,2016,44,0.002804293,0.00140028,0.002113693,976.4854234,2015,2017,970.3209886,0,0.970320989
China,2016,44,0.002804293,0.00140028,0.002113693,976.4854234,2015,2017,983.1019698,1,0.98310197
China,2016,45,0.00301321,0.001484333,0.002260013,974.4236117,2015,2017,967.6037339,0,0.967603734
China,2016,45,0.00301321,0.001484333,0.002260013,974.4236117,2015,2017,981.7263149,1,0.981726315
China,2016,46,0.003249947,0.001585057,0.002428387,972.223887,2015,2017,964.6925267,0,0.964692527
China,2016,46,0.003249947,0.001585057,0.002428387,972.223887,2015,2017,980.2701865,1,0.980270186
China,2016,47,0.00353511,0.001714747,0.002635433,969.8658146,2015,2017,961.5624138,0,0.961562414
